accession	original_accession	description	length	taxonomy	organism	source
NC_027398.1	NC_027398.1	Enterobacteria phage Sf101, complete genome [Contaminant]	38742	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Lederbergvirus	Enterobacteria phage Sf101	Enterobacteria phage Sf101
NC_000866.4	NC_000866.4	Enterobacteria phage T4, complete genome [Contaminant]	168903	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae;Tevenvirinae;Tequatrovirus;Tequatrovirus T4	Escherichia phage T4	Escherichia phage T4
NC_001604.1	NC_001604.1	Enterobacteria phage T7, complete genome [Contaminant]	39937	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae;Studiervirinae;Teseptimavirus;Teseptimavirus T7	Escherichia phage T7	Escherichia phage T7 (T7)
NC_019526.1	NC_019526.1	Enterobacteria phage vB_KleM-RaK2, complete genome [Contaminant]	345809	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Alcyoneusvirus;Alcyoneusvirus RaK2	Klebsiella phage vB_KleM_RaK2	Klebsiella phage vB_KleM_RaK2
NC_023579.1	NC_023579.1	Erwinia phage Ea9-2, complete genome [Contaminant]	75568	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Schitoviridae;Erskinevirinae;Johnsonvirus;Johnsonvirus Ea92	Erwinia phage Ea9-2	Erwinia phage Ea9-2
NC_019926.1	NC_019926.1	Erwinia amylovora phage phiEa100 complete genome [Contaminant]	45554	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae;Molineuxvirinae;Eracentumvirus;Eracentumvirus era103	Erwinia phage phiEa100	Erwinia phage phiEa100
NC_015295.1	NC_015295.1	Erwinia phage phiEt88, complete genome [Contaminant]	47279	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Erwinia phage phiEt88	Erwinia phage phiEt88
NC_025830.1	NC_025830.1	Escherichia phage Av-05, complete genome [Contaminant]	120938	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Vequintavirinae;Avunavirus;Avunavirus Av05	Escherichia phage Av-05	Escherichia phage Av-05
NC_027387.1	NC_027387.1	Escherichia phage CICC 80001, complete genome [Contaminant]	38810	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae;Studiervirinae;Teseptimavirus;Teseptimavirus CICC80001	Escherichia phage CICC 80001	Escherichia phage CICC 80001
NC_020079.1	NC_020079.1	Escherichia phage phAPEC8, complete genome [Contaminant]	147737	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Stephanstirmvirinae;Phapecoctavirus;Escherichia virus phAPEC8	Escherichia phage phAPEC8	Escherichia phage phAPEC8
NC_027381.1	NC_027381.1	Escherichia phage Pollock, complete genome [Contaminant]	68365	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Schitoviridae;Humphriesvirinae;Pollockvirus;Pollockvirus pollock	Escherichia phage Pollock	Escherichia phage Pollock
NC_027378.1	NC_027378.1	Escherichia phage Seurat, complete genome [Contaminant]	56776	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Queuovirinae;Seuratvirus;Seuratvirus seurat	Escherichia phage Seurat	Escherichia phage Seurat
NC_015933.1	NC_015933.1	Escherichia phage vB_EcoP_G7C, complete genome [Contaminant]	72917	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Schitoviridae;Enquatrovirinae;Gamaleyavirus;Gamaleyavirus G7C	Escherichia phage vB_EcoP_G7C	Escherichia phage vB_EcoP_G7C
NC_024790.1	NC_024790.1	Escherichia phage vB_EcoP_PhAPEC7, complete genome [Contaminant]	71778	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Schitoviridae;Enquatrovirinae;Gamaleyavirus;Gamaleyavirus APEC7	Escherichia phage vB_EcoP_PhAPEC7	Escherichia phage vB_EcoP_PhAPEC7
NC_006356.2	NC_006356.2	Flavobacterium phage 11b, complete genome [Contaminant]	36012	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Flavobacterium phage 11b	Flavobacterium phage 11b
NC_021867.1	NC_021867.1	Flavobacterium phage 6H, complete genome [Contaminant]	46978	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Duneviridae;Unahavirus;Unahavirus uv6H	Flavobacterium phage 6H	Flavobacterium phage 6H
NC_027125.1	NC_027125.1	Flavobacterium phage FCL-2, complete genome [Contaminant]	47142	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Ficleduovirus;Ficleduovirus FCL2	Flavobacterium phage FCL-2	Flavobacterium phage FCL-2
KJ018210.1	KJ018210.1	Flavobacterium sp. phage 1/32, complete genome [Contaminant]	42252	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Flavobacterium sp. phage 1/32	Flavobacterium sp. phage 1/32
NC_023612.1	NC_023612.1	Geobacillus phage GBK2, complete genome [Contaminant]	39078	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Geobacillus phage GBK2	Geobacillus phage GBK2
NC_001998.1	NC_001998.1	Guinea pig Chlamydia phage, complete genome [Contaminant]	4529	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Gokushovirinae;Chlamydiamicrovirus;Chlamydiamicrovirus CPG1	Chlamydia phage CPG1	Chlamydia phage CPG1
NC_025439.1	NC_025439.1	Idiomarinaceae phage 1N2-2, complete genome [Contaminant]	34773	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Idiomarinaceae phage 1N2-2	Idiomarinaceae phage 1N2-2
NC_025471.1	NC_025471.1	Idiomarinaceae phage Phi1M2-2, complete genome [Contaminant]	36844	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Idiomarinaceae phage Phi1M2-2	Idiomarinaceae phage Phi1M2-2
NC_011142.1	NC_011142.1	Iodobacteriophage phiPLPE, complete genome [Contaminant]	47453	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Iodovirus;Iodovirus PLPE	Iodobacter phage PhiPLPE	Iodobacter phage PhiPLPE
NC_029099.1	NC_029099.1	Klebsiella phage KP36, complete genome [Contaminant]	49797	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Drexlerviridae;Webervirus;Webervirus KP36	Klebsiella phage KP36	Klebsiella phage KP36
NC_005362.1	NC_005362.1	Lactobacillus johnsonii NCC 533, complete sequence [Contaminant]	1992676	Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus johnsonii NCC 533	Lactobacillus johnsonii NCC 533
AF489521.1	AF489521.1	Lactococcus bacteriophage 4268, complete genome [Contaminant]	36596	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Sandinevirus	Lactococcus phage 4268	Lactococcus phage 4268
NC_028900.1	NC_028900.1	Lactococcus phage SL4, complete genome [Contaminant]	28144	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Skunavirus;Skunavirus Sl4	Lactococcus phage SL4	Lactococcus phage SL4
NC_024385.1	NC_024385.1	Leuconostoc phage phiLN12, complete genome [Contaminant]	28193	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Mccleskeyvirinae;Limdunavirus;Limdunavirus LN12	Leuconostoc phage phiLN12	Leuconostoc phage phiLN12
NC_020853.1	NC_020853.1	Loktanella phage pCB2051-A genomic sequence [Contaminant]	56958	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae;Broinstvirus;Broinstvirus pCB2051A	Loktanella phage pCB2051-A	Loktanella phage pCB2051-A
NC_022790.1	NC_022790.1	Marine gokushovirus isolate GOM, complete genome [Contaminant]	4129	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Gokushovirinae	Marine gokushovirus	Marine gokushovirus
NC_018269.1	NC_018269.1	Marinomonas phage P12026, complete genome [Contaminant]	31766	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Marinomonas phage P12026	Marinomonas phage P12026
JF974298.1	JF974298.1	Methylophilales phage HIM624-A, *** SEQUENCING IN PROGRESS ***, 5 unordered pieces [Contaminant]	23493	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Methylophilales phage HIM624-A	Methylophilales phage HIM624-A
NC_009603.1	NC_009603.1	Microbacterium phage Min1, complete genome [Contaminant]	46365	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Minunavirus;Minunavirus Min1	Microbacterium phage Min1	Microbacterium phage Min1
NC_028986.1	NC_028986.1	Mycobacterium phage Alice, complete sequence [Contaminant]	153401	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Ceeclamvirinae;Bixzunavirus;Bixzunavirus alice	Mycobacterium phage Alice	Mycobacterium phage Alice
NC_023729.1	NC_023729.1	Mycobacterium phage Charlie, complete genome [Contaminant]	43036	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Nclasvirinae;Charlievirus;Charlievirus Charlie	Mycobacterium phage Charlie	Mycobacterium phage Charlie
NC_023690.1	NC_023690.1	Mycobacterium phage Courthouse, complete genome [Contaminant]	110569	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Omegavirus;Omegavirus courthouse	Mycobacterium phage Courthouse	Mycobacterium phage Courthouse
NC_026590.1	NC_026590.1	Mycobacterium phage Gaia, complete genome [Contaminant]	90460	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Gaiavirus;Gaiavirus gaia	Mycobacterium phage Gaia	Mycobacterium phage Gaia
JF937101.1	JF937101.1	Mycobacterium phage LittleE, complete genome [Contaminant]	109086	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Omegavirus;Omegavirus littlee	Mycobacterium phage LittleE	Mycobacterium phage LittleE
NC_004688.1	NC_004688.1	Mycobacterium phage Omega, complete genome [Contaminant]	110865	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Omegavirus;Omegavirus omega	Mycobacterium phage Omega	Mycobacterium phage Omega
NC_022066.1	NC_022066.1	Mycobacterium phage Redno2, complete genome [Contaminant]	108297	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Omegavirus	Mycobacterium phage Redno2	Mycobacterium phage Redno2
NC_026589.1	NC_026589.1	Mycobacterium phage Sbash, complete genome [Contaminant]	55832	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Chenonavirus;Chenonavirus sbash	Mycobacterium phage Sbash	Mycobacterium phage Sbash
NC_024217.1	NC_024217.1	Nitrincola phage 1M3-16, complete genome [Contaminant]	82438	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Nitrincola phage 1M3-16	Nitrincola phage 1M3-16
NC_018837.1	NC_018837.1	Pectobacterium phage My1, complete genome [Contaminant]	122024	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Demerecviridae;Mccorquodalevirinae;Myunavirus;Myunavirus My1	Pectobacterium phage My1	Pectobacterium phage My1
NC_023865.1	NC_023865.1	Pectobacterium phage PM1, complete genome [Contaminant]	55098	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Chaseviridae;Cleopatravirinae;Suwonvirus;Suwonvirus PM1	Pectobacterium phage PM1	Pectobacterium phage PM1
NC_020484.1	NC_020484.1	Pelagibacter phage HTVC008M, complete genome [Contaminant]	147284	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae	Pelagibacter phage HTVC008M	Pelagibacter phage HTVC008M
NC_020481.1	NC_020481.1	Pelagibacter phage HTVC010P, complete genome [Contaminant]	34892	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Pelagibacter phage HTVC010P	Pelagibacter phage HTVC010P
NC_018272.1	NC_018272.1	Persicivirga phage P12024L, complete genome [Contaminant]	35652	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Inhavirus;Inhavirus P12024L	Nonlabens phage P12024L	Nonlabens phage P12024L
NC_018271.1	NC_018271.1	Persicivirga phage P12024S, complete genome [Contaminant]	35700	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Inhavirus;Inhavirus P12024S	Nonlabens phage P12024S	Nonlabens phage P12024S
NC_009551.1	NC_009551.1	Phormidium phage Pf-WMP3, complete genome [Contaminant]	43249	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Saffermanviridae;Wumptrevirus;Wumptrevirus WMP3	Phormidium phage Pf-WMP3	Phormidium phage Pf-WMP3
NC_008367.1	NC_008367.1	Phormidium phage Pf-WMP4, complete genome [Contaminant]	40938	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Saffermanviridae;Wumpquatrovirus;Wumpquatrovirus WMP4	Phormidium phage Pf-WMP4	Phormidium phage Pf-WMP4
NC_016564.1	NC_016564.1	Planktothrix phage PaV-LD, complete genome [Contaminant]	95299	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Planktothrix phage PaV-LD	Planktothrix phage PaV-LD
NC_024329.1	NC_024329.1	Podophage Lau218, complete genome [Contaminant]	39425	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae;Lauvirus;Lauvirus lau218	Podophage Lau218	Podophage Lau218
NC_020845.1	NC_020845.1	Cyanophage MED4-213, complete genome [Contaminant]	180977	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Eurybiavirus;Eurybiavirus MED4213	Prochlorococcus phage MED4-213	Prochlorococcus phage MED4-213
NC_015280.1	NC_015280.1	Prochlorococcus phage P-HM1, complete genome [Contaminant]	181044	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Eurybiavirus;Eurybiavirus PHM2	Prochlorococcus phage P-HM1	Prochlorococcus phage P-HM1
NC_015283.1	NC_015283.1	Prochlorococcus phage P-RSM4, complete genome [Contaminant]	176428	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae;Thaumasvirus;Thaumasvirus stim4	Prochlorococcus phage P-RSM4	Prochlorococcus phage P-RSM4
HQ632825.1	HQ632825.1	Prochlorococcus phage P-SSM5 genomic sequence [Contaminant]	252013	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae;Salacisavirus;Salacisavirus pssm2	Prochlorococcus phage P-SSM5	Prochlorococcus phage P-SSM5
NC_015290.1	NC_015290.1	Prochlorococcus phage P-SSM7, complete genome [Contaminant]	182180	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae;Palaemonvirus;Palaemonvirus pssm7	Prochlorococcus phage P-SSM7	Prochlorococcus phage P-SSM7
NC_015288.1	NC_015288.1	Prochlorococcus phage Syn1, complete genome [Contaminant]	191195	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae;Vellamovirus;Vellamovirus syn1	Prochlorococcus phage Syn1	Prochlorococcus phage Syn1
NC_018851.1	NC_018851.1	Propionibacterium phage ATCC29399B_C, complete genome [Contaminant]	29516	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus ATCC29399BC	Propionibacterium phage ATCC29399B_C	Propionibacterium phage ATCC29399B_C
NC_018847.1	NC_018847.1	Propionibacterium phage ATCC29399B_T, complete genome [Contaminant]	29516	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus ATCC29399BT	Propionibacterium phage ATCC29399B_T	Propionibacterium phage ATCC29399B_T
NC_018842.1	NC_018842.1	Propionibacterium phage P1.1, complete genome [Contaminant]	29348	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus P11	Propionibacterium phage P1.1	Propionibacterium phage P1.1
NC_018840.1	NC_018840.1	Propionibacterium phage P100_1, complete genome [Contaminant]	29612	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus P1001	Propionibacterium phage P100_1	Propionibacterium phage P100_1
NC_018838.1	NC_018838.1	Propionibacterium phage P100_A, complete genome [Contaminant]	29505	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus P100A	Propionibacterium phage P100_A	Propionibacterium phage P100_A
NC_018852.1	NC_018852.1	Propionibacterium phage P100D, complete genome [Contaminant]	29506	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus P100D	Propionibacterium phage P100D	Propionibacterium phage P100D
NC_018841.1	NC_018841.1	Propionibacterium phage P101A, complete genome [Contaminant]	29574	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus P101A	Propionibacterium phage P101A	Propionibacterium phage P101A
NC_018845.1	NC_018845.1	Propionibacterium phage P104A, complete genome [Contaminant]	29371	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus P104A	Propionibacterium phage P104A	Propionibacterium phage P104A
NC_018849.1	NC_018849.1	Propionibacterium phage P105, complete genome [Contaminant]	29202	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus P105	Propionibacterium phage P105	Propionibacterium phage P105
NC_018839.1	NC_018839.1	Propionibacterium phage P14.4, complete genome [Contaminant]	29729	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus P144	Propionibacterium phage P14	Propionibacterium phage P14
NC_018834.1	NC_018834.1	Propionibacterium phage P9.1, complete genome [Contaminant]	29214	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus P91	Propionibacterium phage P9.1	Propionibacterium phage P9.1
NC_009541.1	NC_009541.1	Propionibacterium phage PA6, complete genome [Contaminant]	29739	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus PA6	Propionibacterium phage PA6	Propionibacterium phage PA6
NC_027371.1	NC_027371.1	Propionibacterium phage Pacnes 2012-15, complete genome [Contaminant]	29741	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus pacnes201215	Propionibacterium phage Pacnes 2012-15	Propionibacterium phage Pacnes 2012-15
NC_015454.1	NC_015454.1	Propionibacterium phage PAD20 endogenous virus, complete genome [Contaminant]	29074	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus PAD20	Propionibacterium phage PAD20	Propionibacterium phage PAD20
NC_015453.1	NC_015453.1	Propionibacterium phage PAS50 endogenous virus, complete genome [Contaminant]	29017	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus PAS50	Propionibacterium phage PAS50	Propionibacterium phage PAS50
NC_022338.1	NC_022338.1	Propionibacterium phage PHL060L00, complete genome [Contaminant]	29514	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus PHL060L00	Propionibacterium phage PHL060L00	Propionibacterium phage PHL060L00
JX570711.1	JX570711.1	Propionibacterium phage PHL066M04, complete genome [Contaminant]	29512	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus PHL151N00	Propionibacterium phage PHL066M04	Propionibacterium phage PHL066M04
NC_022335.1	NC_022335.1	Propionibacterium phage PHL067M10, complete genome [Contaminant]	29377	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus PHL067M01	Propionibacterium phage PHL067M10	Propionibacterium phage PHL067M10
NC_022337.1	NC_022337.1	Propionibacterium phage PHL071N05, complete genome [Contaminant]	29467	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus PHL071N05	Propionibacterium phage PHL071N05	Propionibacterium phage PHL071N05
NC_022342.1	NC_022342.1	Propionibacterium phage PHL111M01, complete genome [Contaminant]	29140	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus PHL111M01	Propionibacterium phage PHL111M01	Propionibacterium phage PHL111M01
NC_022334.1	NC_022334.1	Propionibacterium phage PHL112N00, complete genome [Contaminant]	29266	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus PHL112N00	Propionibacterium phage PHL112N00	Propionibacterium phage PHL112N00
NC_022341.1	NC_022341.1	Propionibacterium phage PHL113M01, complete genome [Contaminant]	29200	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus PHL113M01	Propionibacterium phage PHL113M01	Propionibacterium phage PHL113M01
NC_022340.1	NC_022340.1	Propionibacterium phage PHL114L00, complete genome [Contaminant]	29464	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus;Pahexavirus PHL114L00	Propionibacterium phage PHL114L00	Propionibacterium phage PHL114L00
JX570708.1	JX570708.1	Propionibacterium phage PHL115M02, complete genome [Contaminant]	29453	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pahexavirus	Propionibacterium phage PHL115M02	Propionibacterium phage PHL115M02
NC_015293.1	NC_015293.1	Pseudoalteromonas phage H105/1, complete genome [Contaminant]	30651	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Pseudoalteromonas phage H105/1	Pseudoalteromonas phage H105/1
NC_020849.1	NC_020849.1	Pseudoalteromonas phage pYD6-A genomic sequence [Contaminant]	76802	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Schitoviridae;Fuhrmanvirinae;Matsuvirus;Matsuvirus pYD6A	Pseudoalteromonas phage pYD6-A	Pseudoalteromonas phage pYD6-A
NC_021300.1	NC_021300.1	Pseudoalteromonas phage RIO-1, complete genome [Contaminant]	43882	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zobellviridae;Melvirus;Melvirus orientalis	Pseudoalteromonas phage RIO-1	Pseudoalteromonas phage RIO-1
NC_007807.1	NC_007807.1	Pseudomonas phage 119X, complete genome [Contaminant]	43365	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Fredfastierviridae;Jamesmcgillvirus;Jamesmcgillvirus jv119X	Pseudomonas phage 119X	Pseudomonas phage 119X
NC_019923.1	NC_019923.1	Pseudomonas phage AF, complete genome [Contaminant]	42689	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Pseudomonas phage AF	Pseudomonas phage AF
NC_002484.2	NC_002484.2	Bacteriophage D3, complete genome [Contaminant]	56426	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Detrevirus;Detrevirus D3	Pseudomonas phage D3	Pseudomonas phage D3
NC_019450.1	NC_019450.1	Pseudomonas phage JG004, complete genome [Contaminant]	93017	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pakpunavirus;Pakpunavirus JG004	Pseudomonas phage JG004	Pseudomonas phage JG004
NC_015272.2	NC_015272.2	Pseudomonas phage KPP10, complete genome [Contaminant]	88322	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Nankokuvirus;Nankokuvirus KPP10	Pseudomonas phage KPP10	Pseudomonas phage KPP10
AB910392.1	AB910392.1	Pseudomonas phage KPP23 DNA, complete sequence [Contaminant]	62774	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Pseudomonas phage KPP23	Pseudomonas phage KPP23
NC_009936.1	NC_009936.1	Pseudomonas phage LKA1, complete genome [Contaminant]	41593	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae;Krylovirinae;Stubburvirus;Stubburvirus LKA1	Pseudomonas phage LKA1	Pseudomonas phage LKA1
NC_018282.1	NC_018282.1	Pseudomonas phage MP1412, complete genome [Contaminant]	61167	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Mesyanzhinovviridae;Rabinowitzvirinae;Yuavirus;Pseudomonas virus MP1412	Pseudomonas phage MP1412	Pseudomonas phage MP1412
NC_007808.1	NC_007808.1	Pseudomonas phage PA11, complete genome [Contaminant]	49639	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zobellviridae;Paundecimvirus;Paundecimvirus PA11	Pseudomonas phage PA11	Pseudomonas phage PA11
NC_022096.1	NC_022096.1	Pseudomonas phage PaBG, complete genome [Contaminant]	258139	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Baikalvirus;Baikalvirus PaBG	Pseudomonas phage PaBG	Pseudomonas phage PaBG
NC_015294.2	NC_015294.2	Pseudomonas phage PAK_P1, complete genome [Contaminant]	93198	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pakpunavirus;Pakpunavirus PAKP1	Pseudomonas phage PAK_P1	Pseudomonas phage PAK_P1
NC_022967.1	NC_022967.1	Pseudomonas phage PAK_P2, complete genome [Contaminant]	92495	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pakpunavirus;Pakpunavirus PAKP2	Pseudomonas phage PAK_P2	Pseudomonas phage PAK_P2
NC_022966.1	NC_022966.1	Pseudomonas phage PAK_P5, complete genome [Contaminant]	88135	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Nankokuvirus;Nankokuvirus PAKP3	Pseudomonas phage PAK_P5	Pseudomonas phage PAK_P5
NC_005884.1	NC_005884.1	Pseudomonas phage PaP2, complete genome [Contaminant]	43783	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Fredfastierviridae;Jamesmcgillvirus	Pseudomonas phage PaP2	Pseudomonas phage PaP2
NC_004466.2	NC_004466.2	Pseudomonas aeruginosa phage PaP3, complete genome [Contaminant]	45503	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Bruynoghevirus;Bruynoghevirus PaP3	Pseudomonas phage PaP3	Pseudomonas phage PaP3
KM411960.1	KM411960.1	Pseudomonas phage phi176, complete genome [Contaminant]	73048	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Schitoviridae;Migulavirinae;Litunavirus;Litunavirus Ab09	Pseudomonas phage phi176	Pseudomonas phage phi176
NC_004629.1	NC_004629.1	Pseudomonas phage phiKZ, complete genome [Contaminant]	280334	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Phikzvirus;Phikzvirus phiKZ	Pseudomonas phage phiKZ	Pseudomonas phage phiKZ
